first_name,second_name,year,goals_scored,assists,total_points,minutes,goals_conceded,creativity,influence,threat,bonus,bps,ict_index,clean_sheets,red_cards,yellow_cards,selected_by_percent,now_cost,element_type
Granit,Xhaka,2022-2023,5,5,119,2617,32,608.4,571.6,435,11,524,161.6,11,0,4,2.4,48,MID
Mohamed,Elneny,2022-2023,0,0,6,111,2,5.4,4.6,0,0,27,1.1,0,0,0,0.6,41,MID
Rob,Holding,2022-2023,1,0,20,557,13,10.3,149.6,54,0,117,21.4,0,0,0,0.2,42,DEF
Thomas,Partey,2022-2023,3,0,79,2256,25,404.3,492,232,6,428,113,10,0,4,0.4,47,MID
Martin,Ødegaard,2022-2023,12,8,180,2723,35,1001.5,826.2,806,25,697,263.6,11,0,4,27.4,66,MID
Kieran,Tierney,2022-2023,0,1,32,601,7,81,121.6,57,0,143,26.1,1,0,0,0.7,46,DEF
Nicolas,Pépé,2022-2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,53,MID
Benjamin,White,2022-2023,2,5,139,2604,30,435.2,591,153,12,644,118,13,0,5,15.6,50,DEF
Eddie,Nketiah,2022-2023,4,2,60,1018,14,117,211,590,5,160,91,2,0,2,1.9,64,FWD
Emile,Smith Rowe,2022-2023,0,1,13,133,3,63.7,36.2,39,0,46,13.7,0,0,0,0.4,56,MID
Bukayo,Saka,2022-2023,13,12,187,2785,37,1011.9,924.6,1053,19,621,298.9,11,0,6,34.3,83,MID
Takehiro,Tomiyasu,2022-2023,0,1,32,651,11,86.6,137,55,0,173,27.7,2,0,2,0.5,42,DEF
Aaron,Ramsdale,2022-2023,0,0,120,2970,38,0,668,0,6,574,66.9,12,0,1,10.9,48,GK
Gabriel,dos Santos Magalhães,2022-2023,3,0,129,2965,38,111.1,692,380,14,644,118.3,12,0,4,15.1,53,DEF
Nuno,Varela Tavares,2022-2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,DEF
Gabriel,Martinelli Silva,2022-2023,15,8,190,2660,32,814,830.2,1255,18,619,289.9,13,0,3,42.1,68,MID
Pablo,Marí Villar,2022-2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,DEF
Lucas,Torreira di Pascua,2022-2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,45,MID
Reiss,Nelson,2022-2023,3,3,38,123,1,98,167.8,139,5,114,40.6,1,0,0,0,47,MID
Matt,Turner,2022-2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3,38,GK
Fábio,Ferreira Vieira,2022-2023,1,2,38,465,5,168.5,110.6,121,2,128,39.6,2,0,0,0.1,56,MID
William,Saliba,2022-2023,2,1,117,2415,25,100.8,529,114,14,571,74.5,12,0,4,17.1,50,DEF
Marcus,Oliveira Alencar,2022-2023,0,0,1,1,0,0.2,0,0,0,3,0,0,0,0,0.1,46,MID
Gabriel,Fernando de Jesus,2022-2023,9,6,101,1632,20,332.5,535.4,1090,13,320,195.7,7,0,5,28.3,81,FWD
Leandro,Trossard,2022-2023,8,11,139,1951,34,606.9,605.4,819,8,444,203.1,7,0,1,7.4,66,MID
Jorge Luiz,Frello Filho,2022-2023,2,1,65,1713,20,206.1,327,91,5,303,62.5,7,0,4,1.9,57,MID
Oleksandr,Zinchenko,2022-2023,1,2,91,1990,27,378.5,381.2,190,8,460,95,9,0,3,11.5,52,DEF
Matthew,Smith,2022-2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,44,MID
Ethan,Nwaneri,2022-2023,0,0,1,1,0,0,0,0,0,3,0,0,0,0,0,45,MID
Lino,Sousa,2022-2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,40,DEF
Karl,Hein,2022-2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,GK
Amario,Cozier-Duberry,2022-2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,MID
Nathan,Butler-Oyedeji,2022-2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,FWD
Jakub,Kiwior,2022-2023,0,0,2,14,1,0.1,2.8,0,0,6,0.3,0,0,0,0,40,DEF
Reuell,Walters,2022-2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,DEF
Philippe,Coutinho Correia,2022-2023,1,0,32,777,9,152.5,119.2,218,1,98,48.8,3,0,3,2.9,66,MID
Emiliano,Martínez Romero,2022-2023,0,0,123,2689,33,23,722.6,0,15,594,74.5,11,0,6,6.6,50,GK
Calum,Chambers,2022-2023,0,0,12,319,4,29.3,71.8,3,0,65,10.3,0,0,2,0.2,42,DEF
Lucas,Digne,2022-2023,1,0,46,1330,24,291.3,252.2,90,4,215,63.4,3,0,4,1.2,45,DEF
Bertrand,Traoré,2022-2023,2,0,18,155,0,24.5,73.8,55,1,52,15.1,1,0,1,0.1,49,MID
Robin,Olsen,2022-2023,0,0,10,280,8,0,83.2,0,1,62,8.2,1,0,0,1.4,39,GK
Morgan,Sanson,2022-2023,0,0,2,10,1,0.5,4.2,0,0,6,0.4,0,0,0,0.2,43,MID
John,McGinn,2022-2023,1,5,82,2242,26,310.7,347.2,309,3,315,96.7,10,0,5,0.6,51,MID
Kortney,Hause,2022-2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,DEF
Tyrone,Mings,2022-2023,1,3,123,2700,35,81.7,584.6,107,17,565,77.6,12,0,4,12.7,47,DEF
Ollie,Watkins,2022-2023,14,7,159,2683,36,360.6,779.2,1213,22,509,235.3,12,0,2,21.9,78,FWD
Marvelous,Nakamba,2022-2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,43,MID
Emiliano,Buendía Stati,2022-2023,5,3,108,2136,31,505,416.6,502,8,340,142.5,10,0,0,1,57,MID
Matty,Cash,2022-2023,0,2,53,1636,27,177.9,277.6,67,3,295,52.3,4,0,3,3.2,46,DEF
Ezri,Konsa Ngoyo,2022-2023,0,0,101,2872,40,113,483.8,70,6,559,66.8,12,0,5,0.9,44,DEF
Leon,Bailey,2022-2023,4,4,90,1731,31,382.3,297.2,488,6,202,116.3,7,0,4,2.7,43,MID
Douglas Luiz,Soares de Paulo,2022-2023,4,6,113,2482,31,549.9,576.4,228,11,490,135.4,12,1,5,0.7,48,MID
Jacob,Ramsey,2022-2023,4,6,106,2184,28,450.9,506.8,327,9,381,128.5,11,0,4,1.4,53,MID
Tim,Iroegbunam,2022-2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,MID
Diego Carlos,Santos Silva,2022-2023,0,0,3,180,3,2.8,23,32,0,17,5.8,0,0,0,0.2,47,DEF
Anwar,El Ghazi,2022-2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,MID
Keinan,Davis,2022-2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,FWD
Boubacar,Kamara,2022-2023,0,1,38,1566,27,121.4,262.8,35,0,215,42,3,0,4,0.1,48,MID
Cameron,Archer,2022-2023,0,0,6,43,1,2.4,1.8,6,0,13,0.9,0,0,0,1.8,42,FWD
Jaden,Philogene-Bidace,2022-2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,MID
Frédéric,Guilbert,2022-2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,39,DEF
Leander,Dendoncker,2022-2023,0,0,34,831,12,95.3,136.2,64,0,150,29.8,4,0,0,0.1,47,MID
Ludwig,Augustinsson,2022-2023,0,0,2,76,0,1.9,5.6,35,0,5,4.2,0,0,1,0,43,DEF
Kaine,Kesler Hayden,2022-2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,DEF
Ashley,Young,2022-2023,1,0,82,1777,24,207.8,342.2,67,8,347,61.9,9,0,5,0.9,43,DEF
Lamare,Bogarde,2022-2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,DEF
Filip,Marschall,2022-2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,GK
Kadan,Young,2022-2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,MID
Alexandre,Moreno Lopera,2022-2023,0,3,65,1066,7,277.9,208.4,126,5,239,60.9,7,0,3,2.9,45,DEF
Viljami,Sinisalo,2022-2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,GK
Jhon,Durán,2022-2023,0,0,7,78,2,3,5.4,49,0,5,5.5,0,0,1,0,55,FWD
Sil,Swinkels,2022-2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,DEF
Oliwier,Zych,2022-2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,GK
James,Wright,2022-2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,GK
Sebastian,Revan,2022-2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,DEF
Travis,Patterson,2022-2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,MID
Tommi,O'Reilly,2022-2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,MID
Adam,Smith,2022-2023,0,1,68,2583,52,202.1,363.4,84,5,352,65,7,0,9,0.2,43,DEF
Junior,Stanislas,2022-2023,0,0,4,58,1,22.9,10,7,0,13,3.9,0,0,0,0,48,MID
Ryan,Fredericks,2022-2023,0,0,12,527,11,26.7,66,12,0,63,10.6,0,0,1,0,44,DEF
David,Brooks,2022-2023,0,0,2,29,3,0.3,5,5,0,5,1,0,0,0,0,53,MID
Jamal,Lowe,2022-2023,0,0,2,11,0,0.3,0.2,0,0,6,0.1,0,0,0,0,52,MID
Kieffer,Moore,2022-2023,4,0,53,1160,34,87.8,206,249,3,157,53.8,3,0,1,0.8,49,FWD
Emiliano,Marcondes,2022-2023,0,0,1,8,1,0,1.2,0,0,3,0.1,0,0,0,0,47,MID
Jefferson,Lerma Solís,2022-2023,3,0,79,2802,59,242.4,491,247,2,398,97.9,7,0,6,0.4,47,MID
Jack,Stacey,2022-2023,0,0,5,292,10,8.6,44,8,0,34,6,0,0,2,0,42,DEF
Dominic,Solanke,2022-2023,5,10,115,2418,44,228,441.6,907,12,301,157,8,0,1,3.6,56,FWD
Lewis,Cook,2022-2023,0,2,47,1565,36,330.7,293.4,44,1,260,67.1,3,0,3,0.1,49,MID
Ben,Pearson,2022-2023,0,0,9,282,10,6.4,21,9,0,32,3.7,1,0,1,0.1,44,MID
Ryan,Christie,2022-2023,1,1,52,1464,28,290.1,207,319,2,176,81.7,3,0,2,0.1,53,MID
Philip,Billing,2022-2023,7,1,116,2474,48,335.1,593.4,373,14,441,130.2,9,0,5,1.3,52,MID
Chris,Mepham,2022-2023,0,0,42,2107,50,52.7,512.6,132,6,356,69.7,5,0,7,0.1,43,DEF
Mark,Travers,2022-2023,0,0,25,945,31,0,253,0,1,173,25.4,2,0,0,0.4,42,GK
Lloyd,Kelly,2022-2023,0,2,52,1590,30,84.5,306.8,22,5,294,41.6,5,0,3,0.5,43,DEF
Siriki,Dembélé,2022-2023,0,0,6,104,2,52.3,31.8,28,0,20,11.3,0,0,0,0.1,47,MID
Jaidon,Anthony,2022-2023,3,0,52,1092,27,192.9,264.8,248,4,165,70.7,2,0,2,0.1,52,MID
Jordan,Zemura,2022-2023,0,1,47,1452,31,232.8,269.4,71,1,235,57.1,5,0,1,0.1,43,DEF
Will,Dennis,2022-2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,39,GK
Jack,Stephens,2022-2023,0,0,35,1218,24,57.3,270,51,1,233,38,4,0,3,0.1,43,DEF
Joe,Rothwell,2022-2023,0,1,28,800,11,137.9,95,18,0,139,25,3,0,1,0,49,MID
Marcus,Tavernier,2022-2023,5,4,94,1740,37,321,406.4,403,12,315,112.8,5,0,1,0.2,47,MID
James,Hill,2022-2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,DEF
Darren,Randolph,2022-2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,40,GK
Norberto,Murara Neto,2022-2023,0,0,84,2025,32,0,606.2,0,9,439,60.7,6,0,4,0.6,45,GK
Marcos,Senesi,2022-2023,2,0,64,2129,49,75.9,512.4,106,5,406,69.5,5,0,5,0.2,44,DEF
Christian,Saydee,2022-2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,FWD
Owen,Bevan,2022-2023,0,0,1,8,1,0,0.2,0,0,3,0,0,0,0,0,40,DEF
Cameron,Plain,2022-2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,GK
Daniel,Adu-Adjei,2022-2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,FWD
Michael,Dacosta Gonzalez,2022-2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,MID
Dominic,Sadi,2022-2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,FWD
Dango,Ouattara,2022-2023,1,3,40,873,16,196.3,211.6,225,4,130,63.2,1,0,1,0,50,MID
Euan,Pollock,2022-2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,FWD
Antoine,Semenyo,2022-2023,0,0,11,237,5,14.7,15.6,15,0,26,4.4,0,0,0,0,50,FWD
Matías,Viña,2022-2023,1,0,17,184,3,13.6,62.4,21,0,61,9.7,1,0,1,0,45,DEF
Illia,Zabarnyi,2022-2023,0,0,2,27,1,0,0.2,0,0,9,0,0,0,0,0,45,DEF
Hamed,Traorè,2022-2023,0,0,14,425,8,218.5,84,36,0,60,33.8,2,0,0,0,45,MID
Ben,Greenwood,2022-2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,DEF
Max,Kinsey-Wellings,2022-2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,DEF
Pontus,Jansson,2022-2023,1,0,29,722,14,2.5,176.2,53,0,147,23.4,2,0,0,0.3,42,DEF
Christian,Nørgaard,2022-2023,1,6,71,1763,23,173.7,379.2,269,6,309,82.3,6,0,6,0.2,53,MID
Ivan,Toney,2022-2023,19,4,173,2773,40,397.2,886.4,1226,34,575,250.5,10,0,9,32.2,76,FWD
David,Raya Martin,2022-2023,0,0,144,2970,43,20.1,999.2,4,20,720,102.6,10,0,1,16.1,49,GK
Sergi,Canós Tenés,2022-2023,0,0,5,73,2,13.5,7,6,0,14,2.8,0,0,0,0.1,50,DEF
Josh,Dasilva,2022-2023,3,2,68,1289,17,190.2,262,159,0,231,61.1,5,0,1,3.5,41,MID
Kristoffer,Ajer,2022-2023,0,0,29,763,14,24.7,96.8,27,0,129,15.1,4,0,0,0.1,45,DEF
Rico,Henry,2022-2023,0,3,97,2840,43,346.8,410,186,3,430,94.4,9,0,1,3.3,45,DEF
Vitaly,Janelt,2022-2023,3,1,74,1780,25,207.3,375,219,5,302,80.3,6,0,2,0.1,55,MID
Saman,Ghoddos,2022-2023,0,0,12,106,5,40.6,24,17,0,44,8.1,0,0,0,0,48,MID
Mathias,Jensen,2022-2023,5,6,120,2514,37,700.5,595.2,206,11,442,150.2,9,0,5,2.3,48,MID
Yoane,Wissa,2022-2023,5,3,87,1303,16,146,271.4,289,4,223,69.9,5,0,2,0.2,53,MID
Mads,Roerslev Rasmussen,2022-2023,0,0,45,1094,12,106.3,156.4,44,0,187,30.6,5,0,0,0.1,43,DEF
Mads,Bech Sørensen,2022-2023,0,0,4,18,0,0.2,2.6,0,0,12,0.2,0,0,0,0,45,DEF
Ethan,Pinnock,2022-2023,2,0,84,2250,31,101.3,681.2,252,2,459,103.6,8,0,0,1.1,44,DEF
Frank,Onyeka,2022-2023,0,1,24,602,9,63.3,86.8,82,0,67,23.3,2,0,0,0,48,MID
Shandon,Baptiste,2022-2023,0,2,24,533,6,131.9,96.8,52,0,107,28.1,1,1,1,0.2,45,MID
Bryan,Mbeumo,2022-2023,6,7,117,2457,36,679.6,506.2,689,13,422,187.3,8,0,4,3.4,57,FWD
Charlie,Goode,2022-2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,39,DEF
Marcus,Forss,2022-2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,FWD
Dominic,Thompson,2022-2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,DEF
Mads,Bidstrup,2022-2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,MID
Ellery,Balcombe,2022-2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,GK
Aaron,Hickey,2022-2023,0,2,43,1500,27,61.6,181.8,90,2,225,33.4,3,0,6,0.3,49,DEF
Keane,Lewis-Potter,2022-2023,0,1,14,313,4,64,42,114,0,37,21.9,0,0,0,0,52,MID
Thomas,Strakosha,2022-2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,43,GK
Ben,Mee,2022-2023,3,1,120,2819,37,67.7,645.2,222,9,539,93.7,10,0,2,17.4,51,DEF
Fin,Stevens,2022-2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,40,DEF
Halil,Dervişoğlu,2022-2023,0,1,4,6,0,0,0,10,0,11,1,0,0,0,0.5,45,FWD
Mikkel,Damsgaard,2022-2023,0,0,25,713,13,155.2,108.8,79,0,116,34.2,1,0,3,0.1,50,MID
Mathias,Jorgensen,2022-2023,0,1,36,905,14,17.9,177,43,3,154,24.1,3,0,1,0.8,39,DEF
Ryan,Trevitt,2022-2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,MID
Matthew,Cox,2022-2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,GK
Tristan,Crama,2022-2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,DEF
Yegor,Yarmolyuk,2022-2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,MID
Kevin,Schade,2022-2023,0,1,20,447,5,73.6,50.8,123,0,50,24.7,2,0,2,0,49,MID
Michael,Olakigbe,2022-2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,MID
Adam,Lallana,2022-2023,2,1,47,717,10,186.7,144.2,152,4,146,48.5,5,0,0,0.1,48,MID
Jason,Steele,2022-2023,0,1,38,630,10,13,182.2,0,6,172,19.5,3,0,1,3.5,39,GK
Danny,Welbeck,2022-2023,4,4,68,1486,22,276.9,267.2,642,2,212,118.9,5,0,0,1.1,65,FWD
Pascal,Groß,2022-2023,6,6,121,2632,40,1012.7,692.4,462,10,559,217,9,0,4,8.8,54,MID
Lewis,Dunk,2022-2023,1,1,94,2700,40,138.8,552,194,7,518,88.5,9,0,2,7,48,DEF
Solly,March,2022-2023,6,10,144,2605,39,889.6,761.2,914,16,538,256.6,10,0,2,13.3,53,MID
Adam,Webster,2022-2023,0,0,63,1694,22,77.2,297.2,97,3,332,47.1,7,0,1,0.5,45,DEF
Joël,Veltman,2022-2023,1,1,89,1986,26,176.7,390.6,145,6,424,71.6,9,0,3,3.2,46,DEF
Robert,Sánchez,2022-2023,0,0,82,2070,30,0.1,439,0,10,380,43.9,6,0,2,8.7,45,GK
Tariq,Lamptey,2022-2023,0,0,23,439,7,87.2,70.6,48,0,91,20.6,1,0,1,0.9,42,DEF
Steven,Alzate,2022-2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,44,MID
Alexis,Mac Allister,2022-2023,8,1,109,2335,35,526.7,584.2,597,14,446,170.9,8,0,7,7,55,MID
Jakub,Moder,2022-2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,MID
Enock,Mwepu,2022-2023,0,1,11,209,4,39,48.8,34,0,29,12.2,0,0,0,0,53,MID
Jeremy,Sarmiento Morante,2022-2023,0,2,16,168,2,38.2,46.6,50,0,40,12.9,1,0,1,0,45,MID
Moisés,Caicedo Corozo,2022-2023,1,1,65,2528,36,541.1,489,175,0,414,120.6,8,0,8,0.3,50,MID
Taylor,Richards,2022-2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,MID
Haydon,Roberts,2022-2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,DEF
Deniz,Undav,2022-2023,0,1,18,264,2,84.8,24,208,0,32,31.5,1,0,0,0.2,50,FWD
Kaoru,Mitoma,2022-2023,7,7,116,1714,24,416.1,499.6,628,11,400,154.2,6,0,0,27.4,56,MID
Julio,Enciso,2022-2023,2,1,29,320,5,71.7,121.2,232,5,87,42.3,1,0,1,0.9,46,FWD
Kacper,Kozłowski,2022-2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,MID
Billy,Gilmour,2022-2023,0,0,7,160,4,19.9,14,11,0,27,4.5,0,0,1,0.3,42,MID
Kjell,Scherpen,2022-2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,GK
Matt,Clarke,2022-2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,40,DEF
Jan Paul,van Hecke,2022-2023,0,0,4,85,2,3.7,15.8,10,0,20,3,0,0,0,0.3,40,DEF
Levi,Colwill,2022-2023,0,0,26,800,15,44.1,123,21,3,151,19,2,0,0,0.1,44,DEF
Pervis,Estupiñán,2022-2023,0,5,90,1999,32,537.1,409.4,212,11,428,115.4,7,0,3,13.2,48,DEF
Evan,Ferguson,2022-2023,4,2,45,595,5,81.2,203.2,230,5,152,51.6,5,0,1,1.4,46,FWD
Ed,Turns,2022-2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,DEF
Andrew,Moran,2022-2023,0,0,1,11,1,0,0,0,0,3,0,0,0,0,0,45,MID
James,Furlong,2022-2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,DEF
Jack,Hinshelwood,2022-2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,MID
Facundo,Buonanotte,2022-2023,1,1,16,140,3,57.3,62,33,2,52,15,0,0,0,0,45,MID
